route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00005,RD,00005_B_RD_1053,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1359,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0850,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1022,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1319,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1758,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_A_RD_1954,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_0530,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_1549,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1410,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1258,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_2029,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_0855,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_2138,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1906,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1335,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2135,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0922,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0800,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0909,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0819,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
